player,instagramFollowers,facebookFollowers,twitterFollowers,youtubeSubscribers,googleSearchVolume,sponsorshipIncomeUSD,merchSalesUSD,globalFanBaseM,influenceRank
Messi,505000000,117000000,0,5000000,8000000,65000000,45000000,400,9.5
Ronaldo,658000000,170000000,105000000,7000000,12000000,85000000,50000000,450,10.0
