year,winner,runner_up,third_place,club,points
2023,Lionel Messi,Erling Haaland,Kylian Mbappé,Inter Miami/Argentina,546
2017,Cristiano Ronaldo,Lionel Messi,Neymar,Real Madrid/Portugal,946
